id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Netflix,8,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,NFLX
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,NFLX
2316,The Office,2005-03-24,131.7228,8.579,4471,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,NFLX
34307,Shameless,2011-01-09,120.0409,8.161,2874,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-09,NFLX
1396,Breaking Bad,2008-01-20,119.1338,8.924,15439,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-20,NFLX
1668,Friends,1994-09-22,118.8278,8.434,8332,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-09-22,NFLX
1668,Friends,1994-09-22,118.8278,8.434,8332,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-09-22,NFLX
2288,Prison Break,2005-08-29,116.7391,8.08,5388,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-29,NFLX
73586,Yellowstone,2018-06-20,113.153,8.252,2727,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-06-20,NFLX
18165,The Vampire Diaries,2009-09-10,107.1713,8.318,9162,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-10,NFLX
5920,The Mentalist,2008-09-23,120.8285,8.4,3901,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-09-23,NFLX
69478,The Handmaid's Tale,2017-04-26,108.7738,8.179,2857,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-26,NFLX
1433,American Dad!,2005-02-06,116.3339,6.972,2190,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-02-06,NFLX
31132,Regular Show,2010-09-06,108.3854,8.633,2083,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-06,NFLX
1402,The Walking Dead,2010-10-31,105.7678,8.1,16913,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10-31,NFLX
1421,Modern Family,2009-09-23,102.8817,7.873,2935,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-23,NFLX
37680,Suits,2011-06-23,100.6148,8.226,5252,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-23,NFLX
71712,The Good Doctor,2017-09-25,104.1418,8.477,12531,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX
4629,Stargate SG-1,1997-07-27,100.636,8.28,1638,Netflix,8,TV Show,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-07-27,NFLX
63174,Lucifer,2016-01-25,101.2828,8.45,14955,Netflix,8,TV Show,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-25,NFLX
44217,Vikings,2013-03-03,99.4101,8.097,7143,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-03-03,NFLX
2710,It's Always Sunny in Philadelphia,2005-08-04,102.5455,8.283,1148,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-04,NFLX
4087,The X-Files,1993-09-10,103.5179,8.378,3218,Netflix,8,TV Show,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993-09-10,NFLX
95557,INVINCIBLE,2021-03-25,94.8963,8.636,4924,Netflix,8,TV Show,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25,NFLX
