id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker,stock_return,market_return,abnormal_return
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Netflix,8,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,NFLX,-3.0798247221247057,-2.5455861398952666,-0.5342385822294391
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,NFLX,2.3285246906597368,0.05516490326242765,2.2733597873973093
2316,The Office,2005-03-24,131.7228,8.579,4471,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,NFLX,-1.741017446313431,-0.09466583574222476,-1.6463516105712062
34307,Shameless,2011-01-09,120.0409,8.161,2874,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-09,NFLX,0.542897933397717,1.2766261813349085,-0.7337282479371915
1396,Breaking Bad,2008-01-20,119.1338,8.924,15439,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-20,NFLX,6.882606564158467,2.1442179004912245,4.7383886636672425
2288,Prison Break,2005-08-29,116.7391,8.08,5388,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-29,NFLX,-2.2333614378904,0.7679691406644126,-3.0013305785548123
73586,Yellowstone,2018-06-20,113.153,8.252,2727,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-06-20,NFLX,-1.3604984391192052,-0.44953909340346926,-0.9109593457157359
18165,The Vampire Diaries,2009-09-10,107.1713,8.318,9162,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-10,NFLX,-1.9310325988455457,-0.13504263412050724,-1.7959899647250384
5920,The Mentalist,2008-09-23,120.8285,8.4,3901,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-09-23,NFLX,4.249912027856364,2.108199613351198,2.1417124145051654
69478,The Handmaid's Tale,2017-04-26,108.7738,8.179,2857,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-26,NFLX,1.3518004954711869,-0.13612850809311183,1.4879290035642987
